#      xpix        ypix        flux     vel_pix    disp_pix
    -4.5126     -3.4999      0.3701    117.4710    130.8200
    -4.0127     -3.4999      0.4156    107.6520    142.2214
    -3.5127     -3.4999      0.4678     99.5287    151.9075
    -3.0127     -3.4999      0.5430     93.3295    157.0321
    -2.5127     -3.4999      0.6061     86.9865    159.2180
    -2.0127     -3.4999      0.7012     78.4311    160.4015
    -1.5127     -3.4999      0.7652     67.5889    166.1209
    -1.0127     -3.4999      0.8044     53.3554    170.4491
    -0.5127     -3.4999      0.8536     41.2613    166.3872
    -0.0127     -3.4999      0.8706     24.3251    168.5685
     0.4873     -3.4999      0.8762     11.2371    164.7891
     0.9873     -3.4999      0.8173     -0.2547    161.1761
     1.4873     -3.4999      0.7550    -10.8126    153.7965
     1.9873     -3.4999      0.6811    -19.9380    147.7963
     2.4873     -3.4999      0.6337    -28.5887    144.8774
     2.9873     -3.4999      0.5888    -40.3405    144.3713
     3.4873     -3.4999      0.5180    -52.4658    140.3862
     3.9873     -3.4999      0.4740    -64.9032    134.7477
     4.4873     -3.4999      0.4068    -75.9782    128.2164
     4.9872     -3.4999      0.3642    -83.3086    118.7819
     5.4872     -3.4999      0.3229    -89.2809    113.7256
     5.9872     -3.4999      0.2792    -96.4575    113.2210
     6.4872     -3.4999      0.2526   -100.3395    107.7036
     6.9872     -3.5000      0.2168   -103.0148    110.3419
     7.4872     -3.5000      0.1931   -107.5912    104.9388
     7.9872     -3.5000      0.1728   -108.8251    101.8218
     8.4872     -3.5000      0.1568   -117.3700     93.7980
     8.9872     -3.5000      0.1465   -126.9147     89.7925
    -9.0126     -3.0000      0.1723    162.9089    104.2476
    -8.5126     -3.0000      0.1835    161.6772    107.4141
    -8.0126     -3.0000      0.1982    159.0454    108.1128
    -7.5126     -3.0000      0.2162    154.3175    108.9654
    -7.0126     -3.0000      0.2348    155.9179    110.4416
    -6.5126     -2.9999      0.2555    157.5699    112.5711
    -6.0126     -2.9999      0.2845    157.9788    114.5695
    -5.5126     -2.9999      0.3209    147.0570    125.0609
    -5.0126     -2.9999      0.3557    132.0459    129.7661
    -4.5127     -2.9999      0.4012    118.7714    142.2462
    -4.0127     -2.9999      0.4621    108.8794    151.9568
    -3.5127     -2.9999      0.5381    101.9977    164.8957
    -3.0127     -2.9999      0.6497     95.8875    171.0076
    -2.5127     -2.9999      0.7409     86.8945    169.4721
    -2.0127     -2.9999      0.8354     76.8711    174.6552
    -1.5127     -2.9999      0.9217     63.9748    177.6281
    -1.0127     -2.9999      1.0867     54.8322    181.5432
    -0.5127     -2.9999      1.1503     36.0100    178.1314
    -0.0127     -2.9999      1.1134     23.1763    180.9199
     0.4873     -2.9999      1.1097     12.2759    177.6453
     0.9873     -2.9999      1.0499      0.5921    172.7525
     1.4873     -2.9999      0.9825    -12.5554    168.2402
     1.9873     -2.9999      0.8467    -23.6743    157.8006
     2.4873     -2.9999      0.7379    -32.0457    151.6921
     2.9873     -2.9999      0.6607    -42.8718    151.3015
     3.4873     -2.9999      0.5941    -55.0949    146.7383
     3.9873     -2.9999      0.5403    -69.6915    137.1952
     4.4873     -2.9999      0.4640    -81.4181    134.9767
     4.9873     -2.9999      0.4068    -89.2180    126.9464
     5.4873     -2.9999      0.3478    -96.4904    118.5401
     5.9872     -2.9999      0.3049   -102.7927    116.0906
     6.4872     -2.9999      0.2756   -109.3312    114.0766
     6.9872     -3.0000      0.2383   -111.7244    114.6152
     7.4872     -3.0000      0.2075   -117.1982    109.9891
     7.9872     -3.0000      0.1789   -117.3722    102.5901
     8.4872     -3.0000      0.1621   -124.6707     97.6683
     8.9872     -3.0000      0.1496   -131.0990     90.9101
     9.4872     -3.0000      0.1410   -137.6812     86.5325
    -9.0126     -2.5000      0.1728    166.6074    103.0661
    -8.5126     -2.5000      0.1875    161.1814    109.0447
    -8.0126     -2.5000      0.2052    156.9338    109.9664
    -7.5126     -2.5000      0.2205    155.2930    106.5664
    -7.0126     -2.5000      0.2465    158.7277    107.5547
    -6.5126     -2.4999      0.2715    160.6979    113.2406
    -6.0126     -2.4999      0.3084    157.3329    121.9546
    -5.5127     -2.4999      0.3453    147.5226    130.8880
    -5.0127     -2.4999      0.3793    131.7532    140.6414
    -4.5127     -2.4999      0.4502    118.8550    146.5886
    -4.0127     -2.4999      0.5277    109.0267    158.6403
    -3.5127     -2.4999      0.6453    101.5734    167.1652
    -3.0127     -2.4999      0.7528     92.9011    178.1628
    -2.5127     -2.4999      0.8659     83.9284    178.1965
    -2.0127     -2.4999      1.0588     75.9918    186.8538
    -1.5127     -2.4999      1.2631     62.9166    183.2696
    -1.0127     -2.4999      1.4730     52.4747    186.3023
    -0.5127     -2.4999      1.5354     41.4415    188.6945
    -0.0127     -2.4999      1.4755     25.7369    188.4860
     0.4873     -2.4999      1.3402     13.0978    183.2088
     0.9873     -2.4999      1.3034     -3.0161    182.0665
     1.4873     -2.4999      1.2168    -15.3198    179.1620
     1.9873     -2.4999      1.0731    -25.5996    173.8789
     2.4873     -2.4999      0.9018    -34.2103    165.8174
     2.9873     -2.4999      0.7683    -43.1808    160.8049
     3.4873     -2.4999      0.6505    -57.4784    151.0202
     3.9873     -2.4999      0.5854    -71.9240    145.6984
     4.4873     -2.4999      0.5129    -83.8291    139.5903
     4.9873     -2.4999      0.4363    -93.1194    138.9508
     5.4873     -2.4999      0.3829   -101.6463    129.6091
     5.9873     -2.4999      0.3230   -108.9843    123.5392
     6.4873     -2.4999      0.2915   -115.0945    119.8407
     6.9872     -2.5000      0.2557   -118.5096    116.8750
     7.4872     -2.5000      0.2200   -123.0529    114.8698
     7.9872     -2.5000      0.1938   -125.8420    111.0047
     8.4872     -2.5000      0.1660   -127.4457     99.1952
     8.9872     -2.5000      0.1536   -129.5183     91.5354
     9.4872     -2.5000      0.1455   -131.0319     89.7608
    10.4872     -2.5001      0.1369   -137.6334     87.0806
    -9.5126     -2.0000      0.1610    173.9034     93.0030
    -9.0126     -2.0000      0.1738    167.4958     99.7918
    -8.5126     -2.0000      0.1909    161.4854    107.1924
    -8.0126     -2.0000      0.2095    159.2040    109.0772
    -7.5126     -2.0000      0.2283    158.7352    107.6807
    -7.0127     -1.9999      0.2630    161.0605    109.6274
    -6.5127     -1.9999      0.2877    162.2383    116.2525
    -6.0127     -1.9999      0.3226    158.2738    127.4792
    -5.5127     -1.9999      0.3689    146.7873    137.0471
    -5.0127     -1.9999      0.4123    130.6725    146.5971
    -4.5127     -1.9999      0.5092    118.2456    155.5106
    -4.0127     -1.9999      0.6025    106.1492    164.6730
    -3.5127     -1.9999      0.7228     95.0048    174.1392
    -3.0127     -1.9999      0.8912     89.5726    179.5517
    -2.5127     -1.9999      1.0691     81.2251    180.6768
    -2.0127     -1.9999      1.3955     72.1657    185.0846
    -1.5127     -1.9999      1.6979     62.6697    187.0723
